stats_one_day_volume,stats_one_day_change,stats_one_day_sales,stats_one_day_average_price,stats_seven_day_volume,stats_seven_day_change,stats_seven_day_sales,stats_seven_day_average_price,stats_thirty_day_volume,stats_thirty_day_change,stats_thirty_day_sales,stats_thirty_day_average_price,stats_total_volume,stats_total_sales,stats_total_supply,stats_count,stats_num_owners,stats_average_price,stats_market_cap,stats_floor_price,slug,created_date,name
0.464,0.777777778,16,0.029,3.694,-0.224926563,118,0.031305085,14.115,0.0,475,0.029715789,14.135,476.0,9995,9995,386,0.029695378,312.894322,0.029,crazyapessocialclub,2021-12-20T14:13:33.356174,Crazy Apes Social Club
0.19,0.0,1,0.19,0.325,2.25,2,0.1625,48.613879,3.568651552,155,0.313637929,266.763751,1429.0,10,10,668,0.186678622,1.625,0.13,into-the-cryptoverse-nfts,2021-08-06T19:45:20.340733,Into the Cryptoverse NFTs
215.7045646,0.121909422,254,0.849230569,4931.248482,0.517262135,5649,0.872941845,8181.345066,0.0,8293,0.986536243,8181.345066,8293.0,10000,10000,6997,0.986536243,8729.41845,0.69,wonderpals,2021-12-24T21:04:28.518631,WonderPals
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,-1.0,0,0.0,0.61,12.0,100,100,15,0.050833333,0.0,0.05,rusgkaprika,2021-01-21T23:52:04.414054,RUSSIAN GALLERY KAPRIKA
4.140792,-0.712556783,22,0.188217818,206.377344,-0.172700415,946,0.218157869,727.0902293,-0.793492086,3609,0.201465844,4247.973354,15996.0,10000,10000,4954,0.265564726,2181.578689,0.159,popartcats,2022-01-28T09:04:36.229186,Pop Art Cats by Matt Chessco
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,-1.0,0,0.0,5.896040571,61.0,10134,10134,38,0.096656403,0.0,0.030760233,cryptosamba,2021-03-18T13:22:24.201765,Samba Crypto AI
0.09,2.0,3,0.03,0.45,-0.294560276,15,0.03,3.0229,0.1212953,105,0.028789524,38.12551683,1299.0,9675,9675,917,0.029349897,290.25,0.019,crypto-heroes-on-mars,2021-02-17T22:49:37.094284,Crypto Heroes on Mars
58.22195599,-0.824028242,138,0.421898232,563.2390891,0.0,1521,0.370308408,563.2390891,0.0,1521,0.370308408,563.2390891,1521.0,3333,3333,2720,0.370308408,1234.237925,0.397,lovelesscitymetropass,2022-03-04T15:14:16.122731,Loveless City Metropass
0.06,-0.25,1,0.06,0.28,-0.066666667,4,0.07,2.91,0.073800738,40,0.07275,7.38,105.0,6833,6833,76,0.070285714,478.31,0.06,crypto-all-faces-2,2021-06-18T13:34:53.132713,Crypto All Faces
0.04,0.0,1,0.04,0.08,-0.111111111,2,0.04,0.425,-0.750733138,9,0.047222222,40.4144292,807.0,5156,5156,615,0.050079838,206.24,0.035,cryptohamsters-awww,2021-02-10T19:26:50.331531,Cryptohamsters Official
0.076,-0.382113821,4,0.019,0.633,-0.263953488,32,0.01978125,3.034,6.258373206,149,0.020362416,4.37835,178.0,4452,4452,163,0.024597472,88.066125,0.014,nftrex,2021-03-02T16:32:25.004038,NFTRex
10.155,-0.119368686,9,1.128333333,141.8258,-0.240986305,111,1.27770991,1338.599631,-0.763898203,676,1.980176969,7607.426583,7924.0,9761,9761,4810,0.960048786,12471.72643,0.98,cryptocoven,2021-11-04T00:42:55.889500,Crypto Coven
1.851,6.233294256,28,0.066107143,4.4605,-0.638254734,74,0.060277027,150.51886,-0.620044087,1314,0.114550122,554.649484,4383.0,8003,8003,2429,0.126545627,482.3970473,0.06,loot-explorer,2021-12-19T07:01:16.044437,Loot: Explorers
0.051,2.0,3,0.017,0.102,-0.19047619,6,0.017,0.669,-0.421255245,50,0.01338,26.70744806,954.0,3646,3646,642,0.027995229,61.982,0.017,crypto-models,2021-01-12T13:55:51.089267,Crypto Models
67.24589,-0.084732168,366,0.18373194,1606.283755,0.0,8462,0.189823181,1606.283755,0.0,8462,0.189823181,1606.283755,8462.0,7777,7777,4247,0.189823181,1476.254876,0.178,satoshirunnersofficial,2022-02-28T13:25:28.935516,Satoshi Runners Official
1.3,0.0,1,1.3,1.3,-0.798073936,1,1.3,51.868,-0.103560318,19,2.729894737,8509.619721,1579.0,1024,1024,604,5.389246182,1331.2,1.2,phase-by-loren-bednar,2021-10-16T05:53:29.139494,phase by Loren Bednar
10.3774,-0.100978948,28,0.370621429,105.8218,-0.87189986,236,0.448397458,1635.015648,4.477622425,3351,0.487918725,2296.363795,10092.0,6969,6969,3337,0.227542984,3124.881882,0.379,midnightbreeze,2021-12-10T04:29:02.055476,MidnightBreeze
0.0,-1.0,0,0.0,0.27,0.0,3,0.09,0.27,0.0,3,0.09,0.27,3.0,318,318,162,0.09,28.62,0.06,click-by-ivan-dianov,2022-02-16T11:53:23.932153,Click by Ivan Dianov
9.66474455,-0.293032728,129,0.0749205,280.0298882,0.074680684,3096,0.09044893,540.6002069,0.0,6591,0.082020969,540.6002069,6591.0,10000,10000,2642,0.082020969,904.489303,0.07,angelsdevilsnft,2022-02-25T21:18:27.468934,AngelsDevilsNFT
0.0,0.0,0,0.0,0.3,-0.68879668,3,0.1,3.7111111,-0.932442263,29,0.127969348,361.4614965,1354.0,2048,2048,803,0.266958269,204.8,0.09,kai-gen-by-takeshi-murata-christopher-rutledge-j-k,2021-12-09T16:17:38.821656,"Kai-Gen by Takeshi Murata, Christopher Rutledge, J. Krispy"
0.1923,4.060526316,8,0.0240375,1.0041,1.061383699,37,0.027137838,3.96689,-0.612655005,84,0.047224881,223.0416577,1275.0,4444,4444,2185,0.174934634,120.6005514,0.024,wicked-monsters,2021-10-30T18:12:12.151613,Wicked Monsters
2.723,1.613745441,21,0.129666667,23.13609111,-0.690406016,164,0.141073726,393.6022238,-0.828455365,1980,0.198789002,2688.061762,12419.0,6278,6278,3764,0.216447521,885.6608536,0.09999,rengoku-legends-samurai,2022-01-15T01:24:24.581908,Rengoku Legends [Samurai]
0.0,-1.0,0,0.0,3.46,-0.266949153,8,0.4325,45.9045,-0.475299721,70,0.655778571,1570.166478,2609.0,3074,3074,697,0.601826937,1329.505,0.4,bitairt,2019-09-26T06:17:45.531417,DeepBlack
0.13,2.25,3,0.043333333,0.32,2.555555556,8,0.04,1.1953,14.76912929,31,0.038558065,2.807963394,150.0,21034,21034,98,0.018719756,841.36,0.019,blockchainstars,2021-02-19T16:30:32.134006,Blockchain Stars
4.3218,0.0,15,0.28812,71.6768648,-0.340223165,218,0.328792958,266.4478408,-0.405657256,872,0.30555945,2799.313441,11577.0,18377,18377,4532,0.241799554,6042.228186,0.24,10ktf,2021-09-17T06:29:00.755145,10KTF
47.3287,-0.143424522,125,0.3786296,910.8630143,-0.932842493,1690,0.538972198,14473.94854,0.0,19612,0.738014916,14473.94854,19612.0,20000,20000,10157,0.738014916,10779.44396,0.3,tubby-cats,2022-02-21T16:56:00.741611,tubby cats by tubby collective
21.191,0.403246971,40,0.529775,161.9138044,-0.04457867,289,0.560255379,1391.39193,-0.660368504,2022,0.688126573,5509.709432,13757.0,10000,10000,5713,0.400502248,5602.553786,0.52,womenrise,2021-11-26T16:34:05.361448,WomenRise
2.6909,-0.104823686,18,0.149494444,57.04221,-0.899992743,241,0.236689668,753.256007,0.0,3679,0.20474477,753.256007,3679.0,3000,3000,1094,0.20474477,710.0690041,0.1,alphaelementary,2022-02-17T21:01:16.223452,Alpha Elementary
0.0,-1.0,0,0.0,0.05,0.0,2,0.025,0.1534,-0.57150838,7,0.021914286,0.7414,31.0,530,530,28,0.023916129,13.25,0.02,cryptolostsocks,2021-01-15T12:37:48.445005,Crypto Lost Socks
2.6169,7.441612903,6,0.43615,8.4903,-0.553158568,23,0.369143478,135.91919,-0.538421609,316,0.430124019,2135.666335,8056.0,4444,4444,2263,0.265102574,1640.473617,0.265,bvgarden,2021-10-29T22:32:29.676979,BRAiN VOMiTS GARDEN
12.1757,0.713535803,18,0.676427778,189.4067141,0.039215863,231,0.819942485,1995.963386,-0.925318451,1330,1.500724351,32767.15697,16212.0,10000,10000,5259,2.02116685,8199.424854,0.6975,phantabear,2021-12-31T09:26:30.303698,PhantaBear
7.5518,-0.255503524,36,0.209772222,98.0104239,-0.398869589,408,0.240221627,1188.036703,-0.86307897,3130,0.379564442,9864.838945,12435.0,19998,19998,284,0.79331234,4803.952101,0.19,reptile-armoury,2022-01-20T19:07:11.538966,Creepz Reptile Armoury
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.12,1.0,322,322,36,0.12,0.0,0.25,stuz0r,2021-01-22T23:34:41.828181,stuz0r
0.0865,1.703125,3,0.028833333,0.60457,-0.367472275,31,0.019502258,3.73829,-0.478501359,165,0.022656303,1519.570889,11579.0,10000,10000,3850,0.131235071,195.0225806,0.0159,loopy-donuts,2021-09-02T21:40:56.161411,Loopy Donuts
8.3028,2.040873132,56,0.148264286,134.0631858,5.501370089,705,0.190160547,263.6224846,-0.938559361,1429,0.184480395,4554.458407,12978.0,8888,8888,4577,0.350936847,1690.146943,0.1499,8sian-main-collection,2021-12-25T21:16:19.455154,8SIAN Main Collection
0.107,-0.758465011,2,0.0535,4.4302,0.068393383,66,0.067124242,29.57058,-0.698627009,386,0.07660772,127.6901225,1310.0,5001,5001,1627,0.097473376,335.6883364,0.032,the-odd-dystrict-official,2022-01-11T08:13:27.059411,-The Odd Dystrict-
12.35,2.0875,3,4.116666667,51.11,-0.343649673,9,5.678888889,272.424,-0.798433845,59,4.617355932,2550.106989,1217.0,72,72,566,2.095404264,408.88,4.25,letswalk,2021-03-16T04:10:29.128021,LetsWalk
0.0,0.0,0,0.0,0.099,-0.082483781,1,0.099,0.2069,-0.437771739,6,0.034483333,9.864885496,136.0,9112,9112,91,0.072535923,902.088,0.0199,cryptoavalonart,2021-02-21T06:38:27.899579,Crypto Avalon Art
1.5943,-0.236738797,9,0.177144444,32.26324795,-0.146499308,147,0.219477877,163.1284646,-0.703604184,650,0.250966869,6508.416162,14057.0,11111,11111,5171,0.46300179,2438.618694,0.155,boonjiproject,2021-10-20T17:59:49.601337,Boonji Project
0.598,-0.588437715,11,0.054363636,6.68228,-0.50681365,85,0.078615059,262.1819568,0.0,2069,0.126719167,262.1819568,2069.0,3333,3333,1980,0.126719167,262.0239911,0.0268,thepopulars,2022-02-05T15:30:44.513752,THEPOPULARS
16.3189,-0.402211819,7,2.331271429,156.1177,0.021434456,59,2.646062712,851.2453017,-0.68122598,311,2.737123157,11557.39498,14321.0,9408,9408,2824,0.807024299,24894.15799,1.84,forgottenruneswizardscult,2021-06-29T10:49:13.763292,Forgotten Runes Wizards Cult
495.0,-0.318829212,5,99.0,4440.9949,-0.527320623,47,94.48925319,30342.46,-0.631557147,286,106.0925175,412825.6936,24804.0,10000,10000,6344,16.64351288,944892.5319,77.0,boredapeyachtclub,2021-04-22T23:14:03.967121,Bored Ape Yacht Club
0.0,0.0,0,0.0,96.7,2.021875,3,32.23333333,308.85,-0.051617961,26,11.87884615,16676.56573,1342.0,1000,1000,612,12.42665106,32233.33333,6.0,meridian-by-matt-deslauriers,2021-10-15T02:55:35.300681,Meridian by Matt DesLauriers
13.65,1.256944444,11,1.240909091,76.68,0.931242917,68,1.127647059,207.3645,-0.194107438,208,0.996944712,6636.789501,7212.0,10000,10000,1744,0.920242582,11276.47059,0.4,voxies,2021-03-29T04:08:28.050626,Voxies
0.019,0.0,1,0.019,0.038,0.0,2,0.019,0.247,-0.380952381,13,0.019,0.857,44.0,10000,10000,42,0.019477273,190.0,0.019,shape-lab,2021-12-13T06:53:48.398271,Shape-Lab
0.585,7.357142857,6,0.0975,5.39929,-0.552423861,46,0.11737587,90.635151,-0.833988218,648,0.13986906,636.5912876,4664.0,4443,4443,1358,0.136490413,521.5009885,0.06,persona-lamps,2021-12-20T03:16:19.911963,Persona Lamps
0.208,-0.682878488,3,0.069333333,12.1709,3.477888153,19,0.640573684,28.98329,-0.34624035,64,0.452863906,1282.190129,972.0,118018,118018,17488,1.319125647,75599.22506,0.04,fnd,2021-01-20T21:10:26.324044,Foundation (FND)
3.70269,-0.152450386,52,0.071205577,32.7869599,-0.338438118,425,0.077145788,1351.451594,0.0,10594,0.127567642,1351.451594,10594.0,8888,8888,4152,0.127567642,685.6717637,0.05,the-squishiverse,2022-02-10T10:20:25.508637,The Squishiverse NFT
1.97801111,-0.337547227,17,0.116353595,11.10779111,-0.708829105,68,0.163349869,241.998051,0.0,795,0.304400064,241.998051,795.0,2001,2001,664,0.304400064,326.8630884,0.09,boardapecollective,2022-02-06T23:48:25.183250,Board Ape Collective
0.561,-0.392857143,8,0.070125,5.5468,-0.451552719,74,0.074956757,73.65783899,-0.846370197,720,0.102302554,553.1080345,4253.0,4200,4200,1707,0.130051266,314.8183784,0.055,mutantflokiwilljack,2022-01-21T14:21:05.527592,Mutant Floki by Will Jack
2.3389,-0.390594059,10,0.23389,54.6496,1.471851668,189,0.289151323,217.1537355,-0.813456141,728,0.298288098,2542.364038,9057.0,5555,5555,2830,0.280707082,1606.235598,0.2,noodlesnft-official,2021-12-15T03:19:45.619728,Noodles (Official)
0.4928,1.321243523,20,0.02464,6.0211525,-0.991348338,246,0.02447623,966.5589922,0.0,10802,0.089479633,966.5589922,10802.0,6969,6969,2538,0.089479633,170.5748446,0.021,xmfers,2022-02-16T22:52:49.412681,xmfers
0.3404,-0.741239073,6,0.056733333,6.0589,-0.596621656,103,0.058824272,243.005681,-0.473030236,2192,0.110860256,704.1434875,5423.0,6776,6776,2062,0.129843903,398.593266,0.04,supergeisha,2022-02-01T05:33:41.079194,Super Geisha
0.27,-0.241573034,6,0.045,3.34969,-0.049784551,79,0.042401139,23.58929592,-0.946549629,412,0.057255573,1323.727812,10879.0,5555,5555,2614,0.121677343,235.5383285,0.04,coolapeclubofficial,2021-12-22T14:17:54.367605,Cool Ape Club Official
0.0,0.0,0,0.0,0.0,0.0,0,0.0,2.541,-0.584212852,5,0.5082,276.74844,131.0,1754,1754,250,2.112583511,0.0,0.16,boss-logic,2021-01-30T00:01:34.249536,Boss Logic
0.17,-0.83,2,0.085,3.947,-0.291242436,13,0.303615385,18.0954,-0.213745655,85,0.212887059,15957.40563,18565.0,82447,82447,15522,0.859542452,25032.17762,0.01,makersplace,2019-04-26T22:13:09.417671,MakersPlace
146.6818,1.066613222,48,3.055870833,877.6355917,-0.637524934,293,2.995343316,32537.89353,8.412339951,7955,4.090244315,35994.83343,8832.0,5554,5554,3657,4.075501973,16636.13678,2.1,karafuru,2022-02-04T10:16:34.732408,Karafuru
15.9152,0.556074186,69,0.230655072,318.5169415,-0.492595564,1364,0.233516819,946.2547361,0.0,4051,0.233585469,946.2547361,4051.0,12343,12343,5682,0.233585469,2882.298101,0.099,sneaky-vampiress-syndicate,2022-02-21T20:00:50.166461,Sneaky Vampiress Syndicate
6.091,-0.275812051,12,0.507583333,61.6437999,-0.36249896,86,0.716788371,704.8318408,-0.317723603,566,1.245285938,1737.890941,928.0,3483,3483,2008,1.872727307,2496.573896,0.358,creepz-mega-shapeshifterz,2022-01-28T18:18:45.251134,Creepz Mega Shapeshifterz
5.5303,-0.228159351,16,0.34564375,41.56498,-0.233630518,145,0.286655034,341.0399426,-0.974034181,1084,0.314612493,13475.22784,11756.0,8888,8888,5129,1.146242586,2547.789946,0.24,c-01-official-collection,2022-01-14T12:12:29.873993,C-01 Official Collection
8.8305,1.690585009,19,0.464763158,41.76588,-0.593235911,133,0.314029173,1152.110688,0.828752542,2172,0.530437702,1782.108821,3282.0,10000,10000,2827,0.542994766,3140.291729,0.27,angry-ape-army-evolution-collection,2022-01-31T18:07:21.770682,Angry Ape Army Evolution Collection
36.87669697,-0.141803654,17,2.169217469,488.712052,-0.440848238,188,2.599532191,4331.477377,-0.782970595,1509,2.870429011,24289.49814,8636.0,11111,11111,314,2.812586631,28883.40218,1.96,genesis-creepz,2022-01-06T18:54:03.739082,Creepz Genesis
4.9769,0.250791656,19,0.261942105,30.9092,-0.354248183,106,0.291596226,343.4420387,-0.827853171,819,0.419343149,4357.083915,16877.0,10000,10000,5717,0.258166968,2915.962264,0.25,womenandweapons,2021-10-22T23:17:24.367530,Women and Weapons
0.0,-1.0,0,0.0,0.9,-0.741750359,3,0.3,10.6183,-0.464341746,26,0.408396154,595.4572946,1030.0,85,85,325,0.578113878,25.5,0.295,wes-henry-art,2021-01-29T02:23:40.171419,Wes Henry
0.082,-0.566137566,3,0.027333333,1.5263,-0.262514139,51,0.029927451,92.04881523,0.0,848,0.108548131,92.04881523,848.0,2764,2764,1481,0.108548131,82.71947451,0.03,sadboyzcollection,2022-02-07T05:56:00.322108,Sadboyz Collection
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.05,-0.852941176,1,0.05,18.978,92.0,41,41,65,0.206282609,0.0,0.15,lebo-art-collection,2021-06-21T23:14:56.687339,Lebo Art Collection
15.65439899,0.215318727,73,0.214443822,133.4266143,-0.777552253,497,0.268464013,1822.699882,0.0,5243,0.347644456,1822.699882,5243.0,19969,19969,7967,0.347644456,5360.957869,0.19,alpacadabraz-3d,2022-02-11T01:11:52.237894,ALPACADABRAZ 3D
0.28788,-0.654935993,21,0.013708571,3.423694,-0.851013873,166,0.020624663,397.4161576,0.0,8478,0.046876169,397.4161576,8478.0,6700,6700,2804,0.046876169,138.1852398,0.0095,punkmfers,2022-02-13T06:02:01.055655,Punk Mfers
0.42,0.0,1,0.42,2.569,-0.427444338,9,0.285444444,24.8441,-0.737500133,70,0.354915714,177.7196985,419.0,1621,1621,883,0.424152025,462.7054444,0.27,flutter-gen-art,2021-12-09T15:10:07.845963,Flamingo Flutter
0.0,0.0,0,0.0,0.0,-1.0,0,0.0,1.329,-0.915415922,8,0.166125,17.341177,106.0,57,57,44,0.163596009,0.0,0.275,57-moments,2021-12-31T03:09:13.652665,57 Moments
0.5248,-0.798914362,13,0.040369231,7.025033333,-0.537308016,191,0.036780279,400.6335161,0.0,5163,0.07759704,400.6335161,5163.0,10394,10394,3532,0.07759704,382.2942223,0.015,august-sander-10k-collection,2022-02-10T09:01:15.423705,August Sander 10K collection
0.08,0.0,2,0.04,0.2964,-0.184818482,7,0.042342857,2.236,-0.215190762,53,0.042188679,28.295,661.0,15969,15969,554,0.042806354,676.1730857,0.0383,billionaire-nft-club,2021-02-19T23:47:12.075641,Billionaire NFT Club
0.0,-1.0,0,0.0,0.0761,-0.808360614,3,0.025366667,1.2211,-0.0475039,23,0.053091304,22.0202,658.0,20257,20257,552,0.03346535,513.8525667,0.0456,beezerbears,2021-02-28T21:12:51.709255,BeezerBears
0.0,-1.0,0,0.0,0.0035,0.0,1,0.0035,0.0235,0.0,2,0.01175,6.132619009,40.0,1534,1534,53,0.153315475,5.369,0.0027,epics,2019-10-17T17:17:00.546103,Epics
0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.239,0.11682243,3,0.079666667,168.526701,165362.0,145,145,1889,0.001019138,0.0,0.03,age-of-rust,2019-09-03T02:35:56.063685,Age of Rust
0.0,0.0,0,0.0,0.0,-1.0,0,0.0,0.4,-0.824013375,2,0.2,505.2718685,2440.0,56,56,427,0.207078635,0.0,0.04558592,lux-cards,2020-10-13T16:14:22.580332,Lux Cards
10.0018799,-0.26903196,95,0.105282946,85.45706504,-0.498197842,645,0.132491574,485.4015362,0.019791652,2495,0.194549714,7616.763212,27295.0,2207,2207,28239,0.279053424,292.4089032,0.009514625,the-sandbox-assets,2021-11-10T22:44:32.563534,The Sandbox ASSETS
242.8565,0.264300708,76,3.195480263,2254.501995,-0.149122174,651,3.463136705,12224.04391,-0.485375783,3007,4.065195848,155634.1283,81877.0,165006,165006,20189,1.900828417,571438.3352,2.94,sandbox,2019-12-04T10:58:29.069907,The Sandbox
94.3685987,-0.223228778,16,5.898037419,1001.083945,0.01075507,111,9.018774277,5900.403405,-0.445431081,716,8.240786878,280555.3881,18362.0,97334,97334,6799,15.27913016,877833.3755,4.478,decentraland,2019-04-26T22:13:21.651227,Decentraland
80.788736,0.159929021,34,2.376139294,1093.526849,-0.727559616,380,2.877702234,7229.239581,0.364199987,2473,2.923267117,19813.09218,17375.0,9508,9508,4845,1.140321852,27361.19284,1.99,worldwidewebbland,2021-11-29T08:20:45.145208,Worldwide Webb Land
0.108,-0.756207675,2,0.054,1.7435,-0.872574456,28,0.062267857,21.52419,-0.362052905,297,0.07247202,239.4877076,2297.0,7587,7587,1393,0.104261083,472.4262321,0.052,isotile-genesis-avatars,2021-08-27T02:29:16.320079,isotile Genesis Avatars
143.913,0.297331651,13,11.07023077,2176.0443,-0.693548139,177,12.29403559,20571.67921,2.891983757,1825,11.27215299,35919.68821,17920.0,10000,10000,4560,2.004446887,122940.3559,9.08,nft-worlds,2021-10-06T04:57:55.922255,NFT Worlds
20.0107,0.345718532,16,1.25066875,259.2631,-0.621228882,165,1.571291515,1575.860307,-0.299410985,1147,1.373897391,3825.196615,2639.0,9715,9715,3810,1.44948716,15265.09707,0.769,netvrkland,2022-01-11T22:27:18.948459,Netvrk Land
2.0,0.0,1,2.0,99.255,0.099778393,15,6.617,410.9994999,-0.327421852,73,5.630130136,27101.38285,4459.0,5762,5762,4652,6.077905998,38127.154,0.5,somnium-space,2019-09-09T12:59:27.887680,Somnium Space VR
